Nome da Região;Nome da UF;Sigla da UF;Nome do Município;Localização - Prédio Escolar;Água Potável;Água da Rede Pública;Água Poço Artesiano;Energia da Rede Pública;Esgoto da Rede Pública;Coleta de Lixo;Biblioteca;Biblioteca - Sala de Leitura;Cozinha;Laboratório de Ciências;Laboratório de Informática;Pátio Coberto;Pátio Descoberto;Quadra de Esportes;Refeitório;Acessibilidade - Corrimão;Elevador de Acessibilidade;Acessibilidade - Pisos Táteis;Acessibilidade - Vão Livre;Rampas de Acessibilidade;Acessibilidade - Sinal Sonoro;Acessibilidade - Sinal Tátil;Acessibilidade - Sinal Visual;Acessibilidade - Inexistente;Salas Climatizadas;Computador;Impressora;Lousa Digital;Internet Disponível;Internet - Alunos;Internet Banda Larga;Quant. Fonoaudiologos;Quant. Assist. Social;Quant. Tradutor Libras;Quantidade de Material Especial;Quantidade de Turmas Especiais
Nordeste;Paraíba;PB;Brejo do Cruz;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;9.0;5.0
Nordeste;Paraíba;PB;Brejo do Cruz;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;6.0;4.0
Nordeste;Paraíba;PB;Brejo do Cruz;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;15.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;57.0;21.0
Nordeste;Paraíba;PB;Brejo do Cruz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordeste;Paraíba;PB;Brejo do Cruz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordeste;Paraíba;PB;Belém do Brejo do Cruz;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Nordeste;Paraíba;PB;Brejo do Cruz;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;7.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;7.0
Nordeste;Paraíba;PB;Brejo do Cruz;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;5.0
Nordeste;Paraíba;PB;Brejo do Cruz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordeste;Paraíba;PB;Brejo do Cruz;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
